intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,lineage
3564000,0.05121425492168415,0.7918240391024217,0.05121425492168415,0.06161363203310014,1.27020202020202,1.0,0.6575119443349824,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_004745495.1 Brevibacterium aurantiacum strain=L261, ASM474549v1",778a4bba920235eef43054ba12c7e9c3,0.7918240391024217,3564000,0,33986000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9268523869233654,0.9924987249374235,0.9596755559303944,0.9924987249374235,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium aurantiacum
3526000,0.05066819945394453,0.8597262952101662,0.05055324040810461,0.0519775702969758,1.0855599772598068,1.0,0.4202270856780461,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_003335205.1 Brachybacterium sp. JB7 strain=JB7, ASM333520v1",7811ecc7406120b3c3a592a8b21b7a35,0.8616813294232649,3518000,1,30468000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9265319479661227,0.9952092619136381,0.9608706049398804,0.9952092619136381,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium sp. JB7
3112000,0.044719068831728694,0.09227575982209044,0.044719068831728694,0.042518441897814195,1.0038560411311055,1.0,0.06696152327830902,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-fungi-k31.zip,"GCA_017657125.1 Scopulariopsis brevicaulis strain=MRI360, ASM1765712v1",d8d79dd301038304f2ca0195a8bfc03c,0.09227575982209044,3112000,2,27356000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9228064763303083,0.9260101137267748,0.9244082950285415,0.9260101137267748,False,Eukaryota;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scopulariopsis;Scopulariopsis brevicaulis
2692000,0.03868371892513292,0.9037361157859307,0.03858312976002299,0.03770041102975202,1.031657355679702,1.0,0.39939858174684023,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900163675.1 Corynebacterium sp. JB4 strain=JB4, ASM90016367v1",d9509d286d2ed617e208220d855afb7d,0.9060922248401212,2685000,3,24671000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9185007596207914,0.9968239516142177,0.9576623556175046,0.9968239516142177,False,Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium casei
2615000,0.037577238108923695,0.8635612817971589,0.037562868228193706,0.040912431608460136,1.1499617444529457,1.0,0.7633572096993761,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_000297455.1 Staphylococcus equorum subsp. equorum Mu2 strain=Mu2, ASM29745v1",c859fad8288d38c7f047ee7adae6f201,0.8638916418896597,2614000,4,22057000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9176413174236834,0.9952915091354816,0.9564664132795825,0.9952915091354816,False,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus equorum;Staphylococcus equorum subsp. equorum Mu2
2638000,0.037907745365713466,0.6402129817444219,0.036283948843224605,0.036529928954460084,1.062970297029703,1.0,0.28072587860707415,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_004745075.1 Brevibacterium sp. S111 strain=S111, ASM474507v1",3c41caea215bbb8561eb3f1ff5a3c59d,0.6688640973630832,2525000,5,19532000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9179005716314287,0.9871104242087466,0.9525054979200877,0.9871104242087466,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp. S111
2013000,0.028926569909469752,0.7074487225620727,0.028251185515160225,0.027438277485913383,1.0254323499491353,1.0,0.1814494351297995,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_014897205.1 Staphylococcus succinus strain=FME10, ASM1489720v1",cbd3e60b7671b0cb28478d4f40a15dfe,0.724361281036344,1966000,6,17566000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9099290765436631,0.9896518177995517,0.9497904471716074,0.9896518177995517,False,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus succinus
1822000,0.026181922690041673,0.2574018982858762,0.026110073286391724,0.024947600511745653,1.0088057237204182,1.0,0.12382437458146778,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900143625.1 Nocardiopsis sp. JB363 strain=JB363, ASM90014362v1",fe4ca03438a38cf73b96c41c08660106,0.2581102139113189,1817000,7,15749000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9070075812498359,0.9572513200113323,0.9321294506305842,0.9572513200113323,False,Bacteria;Actinobacteria;Actinomycetia;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;Nocardiopsis sp. JB363
1862000,0.02675671791924127,0.6096401900882552,0.025808305791061935,0.024716226148025152,1.0111358574610245,1.0,0.13713843502953285,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_020224715.1 Staphylococcus xylosus strain=TMW 2.1521, ASM2022471v1",39d6c5e234d9c8b52cd6ea79786512eb,0.6320434487440597,1796000,8,13953000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9076431884127514,0.9853090726231256,0.9464761305179386,0.9853090726231256,False,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus xylosus
1750000,0.025147291277482397,0.3455357142857143,0.02224457537002443,0.021463374799248713,1.018733850129199,1.0,0.15761612007960704,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_004745485.1 Brevibacterium sp. S22 strain=S22, ASM474548v1",4ed53bbd9694d1b411ee3a4b2bebfdfc,0.390625,1548000,9,12405000,inputs/raw/SRR19888427ass.fasta,SRR19888427,0113a037,69590000,31,DNA,1000,69590,True,0.9058286819795481,0.9701323099366705,0.9379804959581093,0.9701323099366705,False,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp. S22
